panel,category,category_index,group,category_center_px,bar_center_px,bar_left_px,bar_right_px,top_y_px,bottom_y_px,baseline_y_px,value,pixel_uncertainty,value_uncertainty_from_pixels,errorbar_upper_px,errorbar_value_from_pixels,errorbar_detection,mean_r,mean_g,mean_b,confidence,baseline_visibility,baseline_contact_observed,occlusion_evidence_groups,occlusion_evidence,source_strategy
P1,1,1,B,55.333,46.166,43,50,52,144,146.0,54.890511,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":49,""bottom_y_px"":53,""left_x_px"":45,""right_x_px"":47,""detection_method"":""achromatic_or_contrast_component_above_fill""}",252.721,200.696,151.088,0.88,visible,True,,[],digitized_raster
P1,1,1,D,55.333,55.166,52,59,104,145,146.0,24.525547,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":101,""bottom_y_px"":105,""left_x_px"":54,""right_x_px"":57,""detection_method"":""achromatic_or_contrast_component_above_fill""}",156.515,213.439,158.109,0.94,visible,True,,[],digitized_raster
P1,1,1,F,55.333,64.5,60,68,131,144,146.0,8.759124,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":128,""bottom_y_px"":130,""left_x_px"":63,""right_x_px"":67,""detection_method"":""achromatic_or_contrast_component_above_fill""}",190.968,181.768,212.816,0.88,visible,True,,[],digitized_raster
P1,2,2,B,89.333,80.166,77,84,38,144,146.0,63.065693,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":36,""bottom_y_px"":39,""left_x_px"":79,""right_x_px"":82,""detection_method"":""achromatic_or_contrast_component_above_fill""}",252.847,200.697,151.437,0.88,visible,True,,[],digitized_raster
P1,2,2,D,89.333,89.166,86,93,87,145,146.0,34.452555,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":84,""bottom_y_px"":87,""left_x_px"":88,""right_x_px"":91,""detection_method"":""achromatic_or_contrast_component_above_fill""}",156.069,214.985,156.209,0.94,visible,True,,[],digitized_raster
P1,2,2,F,89.333,98.5,94,102,127,144,146.0,11.094891,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":125,""bottom_y_px"":126,""left_x_px"":97,""right_x_px"":100,""detection_method"":""achromatic_or_contrast_component_above_fill""}",191.42,180.716,209.173,0.88,visible,True,,[],digitized_raster
P1,3,3,B,123.667,114.5,111,118,74,144,146.0,42.043796,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":72,""bottom_y_px"":75,""left_x_px"":113,""right_x_px"":116,""detection_method"":""achromatic_or_contrast_component_above_fill""}",252.136,200.595,150.335,0.88,visible,True,,[],digitized_raster
P1,3,3,D,123.667,123.5,120,127,99,145,146.0,27.445255,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":96,""bottom_y_px"":100,""left_x_px"":122,""right_x_px"":125,""detection_method"":""achromatic_or_contrast_component_above_fill""}",156.184,214.576,156.916,0.94,visible,True,,[],digitized_raster
P1,3,3,F,123.667,132.834,129,137,133,144,146.0,7.591241,1.0,0.583942,1,0.583942,"{""upper_extent_px"":1,""top_y_px"":132,""bottom_y_px"":133,""left_x_px"":130,""right_x_px"":134,""detection_method"":""achromatic_or_contrast_component_above_fill""}",192.769,182.75,212.0,0.88,visible,True,,[],digitized_raster
P1,4,4,B,157.833,148.666,145,152,30,144,146.0,67.737226,1.0,0.583942,3,1.751825,"{""upper_extent_px"":3,""top_y_px"":27,""bottom_y_px"":31,""left_x_px"":147,""right_x_px"":150,""detection_method"":""achromatic_or_contrast_component_above_fill""}",252.45,200.957,150.264,0.88,visible,True,,[],digitized_raster
P1,4,4,D,157.833,157.666,154,161,111,145,146.0,20.437956,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":109,""bottom_y_px"":111,""left_x_px"":156,""right_x_px"":159,""detection_method"":""achromatic_or_contrast_component_above_fill""}",157.145,214.033,156.942,0.94,visible,True,,[],digitized_raster
P1,4,4,F,157.833,167.0,163,171,124,144,146.0,12.846715,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":122,""bottom_y_px"":125,""left_x_px"":165,""right_x_px"":168,""detection_method"":""achromatic_or_contrast_component_above_fill""}",192.901,182.137,213.802,0.88,visible,True,,[],digitized_raster
P1,5,5,B,191.667,182.5,179,186,31,144,146.0,67.153285,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":29,""bottom_y_px"":32,""left_x_px"":181,""right_x_px"":184,""detection_method"":""achromatic_or_contrast_component_above_fill""}",253.327,200.307,151.835,0.88,visible,True,,[],digitized_raster
P1,5,5,D,191.667,191.5,188,195,95,144,146.0,29.781022,1.0,0.583942,2,1.167883,"{""upper_extent_px"":2,""top_y_px"":93,""bottom_y_px"":96,""left_x_px"":190,""right_x_px"":193,""detection_method"":""achromatic_or_contrast_component_above_fill""}",157.234,215.03,156.218,0.88,visible,True,,[],digitized_raster
